Location,Unnamed: 1,Nawalapitiya,Unnamed: 3,Unnamed: 4,Water Source,Unnamed: 6,Mahaweli River,Unnamed: 8,Unnamed: 9,Unnamed: 10,Station ID,Unnamed: 12,MR5
,,,,,,,,,,,,,
,,2020-03-01 00:00:00,2021-03-01 00:00:00,2023-01-01 00:00:00,2023-04-01 00:00:00,2023-06-01 00:00:00,2023-07-01 00:00:00,2024-01-01 00:00:00,2024-03-01 00:00:00,,,,
BOD,,6,2,1,2,1,<1,1,1,,,,
Chlorine,,4,7,7,7,6,5,3,7,,,,
COD,,6,4,6,8,12,8,2,12,,,,
Dissolved O2,,7.8,5.6,6.5,7.4,7.8,7.6,7.7,5.9,,,,
Electrical Conductivity,,0.07,0.06,0.07,0.07,0.04,0.04,0.05,0.05,,,,
Hardness,,40,28,24,28,12,20,20,32,,,,
Nitrate (mg/l),,<0.01,,0.09,1.04,0.28,0.05,0.71,0.49,,,,
pH,,7.7,7.4,7.6,8,7.6,7.7,7.3,6,,,,
Phosphate,,<0.01,,0.19,0.13,0.21,0.31,0.15,0.28,,,,
Temperature (Celsius),,26.8,23.2,23.8,26.4,24.1,24,25.2,27,,,,
Turbidity (NTU),,54,34,95,97,142,156,17,48,,,,
